order_number,user_name,product_id,product_name,quantity,amount_paid,status,rfid_card_uid,written_payload,created_at,written_at,verified_at,dispensed_at,frontend_id,notes
ORD-20260705094040-W7LLMY,matthew,P003,XIAO ESP32-C5,2,,DISPENSE_FAILED,71 B1 49 A0,"{""type"":""direct"",""user_name"":""matthew"",""order_number"":""ORD-20260705094040-W7LLMY"",""v"":1}",2026-07-05T09:40:40.476Z,2026-07-05T09:40:47.603Z,2026-07-05T09:41:03.276Z,2026-07-05T09:41:03.508Z,frontend-1,servo not present
ORD-20260705095302-8JDJYJ,matt,SELECT,Selecting: P001x3,3,47.97,DISPENSED,21 0E 4A A0,"[{""product_id"":""P001"",""qty"":3}]",2026-07-05T09:53:02.516Z,,2026-07-05T09:53:02.516Z,2026-07-05T09:53:13.559Z,frontend-1,dispensed
ORD-20260705101135-L7T_KQ,ma,MULTI,"Direct: XIAO ESP32-S3 Sense x2, XIAO ESP32-C3 x2, XIAO ESP32-C5 x2, XIAO nRF52840 Sense x2",8,87.74,DISPENSED,21 0E 4A A0,"[{""product_id"":""P001"",""qty"":2},{""product_id"":""P002"",""qty"":2},{""product_id"":""P003"",""qty"":2},{""product_id"":""P004"",""qty"":2}]",2026-07-05T10:11:35.183Z,2026-07-05T10:11:39.807Z,2026-07-05T10:11:45.720Z,2026-07-05T10:12:13.319Z,frontend-1,dispensed
ORD-20260705101248-7WRYV7,matthew,MULTI,"Direct: XIAO ESP32-S3 Sense x2, XIAO ESP32-C3 x2, XIAO ESP32-C5 x2, XIAO nRF52840 Sense x2",8,87.74,DISPENSED,21 0E 4A A0,"[{""product_id"":""P001"",""qty"":2},{""product_id"":""P002"",""qty"":2},{""product_id"":""P003"",""qty"":2},{""product_id"":""P004"",""qty"":2}]",2026-07-05T10:12:48.088Z,2026-07-05T10:12:54.183Z,2026-07-05T10:12:59.913Z,2026-07-05T10:13:27.368Z,frontend-1,dispensed
ORD-20260705101736-DD_6N8,matthew,SELECT,Selecting: P001x2 P002x3 P003x6,11,88.35000000000001,DISPENSED,21 0E 4A A0,"[{""product_id"":""P001"",""qty"":2},{""product_id"":""P002"",""qty"":3},{""product_id"":""P003"",""qty"":6}]",2026-07-05T10:17:36.174Z,,2026-07-05T10:17:36.174Z,2026-07-05T10:18:13.245Z,frontend-1,dispensed
