product_id,name,servo_id,stock,price
P001,XIAO ESP32-S3 Sense,1,9,15.99
P002,XIAO ESP32-C3,2,10,4.99
P003,XIAO ESP32-C5,3,10,6.90
P004,XIAO nRF52840 Sense,4,10,15.99
